Planet,Diameter (km),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (10^6 km),Aphelion (10^6 km),Orbital Period (days),Orbital Velocity (km/s),Orbital Inclination (degrees),Orbital_Days,Perimeter (10^6)(km)
Mercury,4879,1407.6,4222.6,57.9,46.0,69.8,88,47.4,7.0,88.0,359.9236487533543
Venus,12104,-5832.5,2802.0,108.2,107.5,108.9,224.7,35.0,3.4,225.0,679.8335365932032
Earth,12756,23.9,24.0,149.6,147.1,152.1,365.2,29.8,0.0,365.25,939.8988936708627
Mars,6792,24.6,24.7,228.0,206.7,249.3,687,24.1,1.8,687.0,1429.4354384661033
Jupiter,142984,9.9,9.9,778.5,740.6,816.4,4331,13.1,1.3,4333.0,4888.560196810097
Saturn,120536,10.7,10.7,1432.0,1357.6,1506.5,"10,747",9.7,2.5,10759.0,8991.752609283847
Uranus,51118,-17.2,17.2,2867.0,2732.7,3001.4,"30,589",6.8,0.8,30687.0,18004.313187129683
Neptune,49528,16.1,16.1,4515.0,4471.1,4558.9,"59,800",5.4,1.8,60190.0,28367.911161793418
